id;checking_peer;checked_peer;points_amount
5119;govgatensk;yhvyreitdm;5
5120;babhoiggws;yhvyreitdm;1
5121;pdvbgluxya;yhvyreitdm;1
5122;pvntbxxmbo;yhvyreitdm;1
5123;xrgmohsjot;jkcyxzyxad;1
5124;govgatensk;jkcyxzyxad;2
5125;dwzzoglypj;jkcyxzyxad;1
5126;dgmhzzdrfm;jkcyxzyxad;1
5127;dcrjutitof;jkcyxzyxad;2
5128;mnbrgxeaza;jkcyxzyxad;1
5129;gdcelvwihz;lthvcrijsn;1
5130;avhxjuyeea;lthvcrijsn;2
5131;ymppbxyzqs;lthvcrijsn;1
5132;qxrjpqlsmg;lthvcrijsn;1
5133;kljwmkzkjd;lthvcrijsn;1
5134;yuxhxycamq;lthvcrijsn;1
5135;kljwmkzkjd;jupuhjlkyw;3
5136;hudmfiirbm;jupuhjlkyw;1
5137;pxkxlnptaz;rbzncgfqwj;1
5138;kljwmkzkjd;rbzncgfqwj;1
5139;xexptrbjds;jkcyxzyxad;1
5140;kljwmkzkjd;jkcyxzyxad;2
5141;ngbmwyupwy;jkcyxzyxad;1
5142;bkfsnpmcsh;jkcyxzyxad;1
5143;btbxfqzflz;jkcyxzyxad;2
5144;rfhlmizeme;jkcyxzyxad;1
5145;ehcrvxwjcq;bssdifgmnn;1
5146;btbxfqzflz;bssdifgmnn;1
5147;hjojpcddeo;bssdifgmnn;1
5148;iztlqhxwpv;bssdifgmnn;3
5149;ubcmdnipia;bssdifgmnn;1
5150;rdikgkjfaz;bssdifgmnn;1
5151;iztlqhxwpv;olprhxjpuc;5
5152;lpnibuxbuc;olprhxjpuc;1
5153;xcjlplzenx;olprhxjpuc;1
5154;rrupwzophq;olprhxjpuc;1
5155;joyaebgxbb;olprhxjpuc;1
5156;xpuctlyjax;aigmzvxjkd;1
5157;iztlqhxwpv;aigmzvxjkd;1
5158;pgpckxvdin;jkcyxzyxad;1
5159;iztlqhxwpv;jkcyxzyxad;2
5160;kjacsupodg;jkcyxzyxad;1
5161;ymgwmbsrzp;jkcyxzyxad;1
5162;ygghbwmyxn;jkcyxzyxad;3
5163;haftccasgk;jkcyxzyxad;1
5164;eisykuaohg;jkcyxzyxad;1
5165;ygghbwmyxn;cgivhvlkoo;5
5166;smwmevouva;cgivhvlkoo;1
5167;zhoscibphu;cgivhvlkoo;1
5168;wudbunehbk;cgivhvlkoo;1
5169;tvcnpgthwc;cgivhvlkoo;1
5170;syydncmtte;oymgfsyeon;1
5171;ygghbwmyxn;oymgfsyeon;1
5172;cvasxixiqw;oymgfsyeon;1
5173;geikffgwob;oymgfsyeon;4
5174;xyrrfngxbm;oymgfsyeon;1
5175;tugxbuxghb;oymgfsyeon;1
5176;hobafcartt;oymgfsyeon;1
5177;mweoyctrjb;uaxhwekjta;1
5178;geikffgwob;uaxhwekjta;5
5179;rvstvbdjmi;uaxhwekjta;1
5180;dcrvbpjxst;uaxhwekjta;1
5181;xzsearcozb;uaxhwekjta;1
5182;btflbylwio;jkcyxzyxad;1
5183;geikffgwob;jkcyxzyxad;7
5184;akhhhniqnw;jkcyxzyxad;1
5185;kosxxafery;jkcyxzyxad;1
5186;oojxxaugkj;jkcyxzyxad;1
5187;ssvgefvowk;jkcyxzyxad;1
5188;geikffgwob;aevlulvkmf;2
5189;hautsnsbgs;aevlulvkmf;1
5190;ujpzzmcyue;stirhusney;1
5191;geikffgwob;stirhusney;2
5192;konvqqqeqs;stirhusney;1
5193;geikffgwob;cenuipcywj;3
5194;djzwbokugw;cenuipcywj;1
5195;idontzihcg;cenuipcywj;1
5196;aaazzfywby;cenuipcywj;1
5197;gqwzyzdqjx;jkcyxzyxad;1
5198;awujthvgwp;jkcyxzyxad;1
5199;mrzyxaeisz;jkcyxzyxad;1
5200;geikffgwob;gyrzpuwsmm;5
5201;ywgkonnfde;gyrzpuwsmm;1
5202;wzjejteeib;gyrzpuwsmm;1
5203;bscuakmewv;gyrzpuwsmm;1
5204;hfdingovgq;ymxrqmgfgh;1
5205;geikffgwob;ymxrqmgfgh;1
5206;hdsqeocvgy;ymxrqmgfgh;1
5207;odfbhhbggb;ymxrqmgfgh;4
5208;xrnryvydep;ymxrqmgfgh;1
5209;qbdkoqrliw;ymxrqmgfgh;1
5210;oorumjicqa;ymxrqmgfgh;1
5211;djzfdpdkrd;rdrfrejdln;1
5212;kqmnvlbkoz;rdrfrejdln;1
5213;wvedjsjcya;rdrfrejdln;1
5214;bxcnwpuwnp;jkcyxzyxad;5
5215;ktajuidkrv;jkcyxzyxad;1
5216;xmvihvojvo;jkcyxzyxad;1
5217;xotsiqxynr;jkcyxzyxad;1
5218;rufisonomm;jkcyxzyxad;1
5219;ostmrfqkdg;zgnbqcdhez;2
5220;lsimzsnaoy;zgnbqcdhez;1
5221;vhickzaiym;shcgzbpson;1
5222;ostmrfqkdg;shcgzbpson;2
5223;qizqeqosly;shcgzbpson;1
5224;txcquhgwyr;shcgzbpson;1
5225;lzttrdmxmq;qlhfhaoynd;1
5226;spdeztadjm;qlhfhaoynd;1
5227;auffgiuatk;qlhfhaoynd;2
5228;wcfoxqagyz;qlhfhaoynd;1
5229;vlwbmsugcz;qlhfhaoynd;1
5230;auffgiuatk;jkcyxzyxad;1
5231;syobmlmwtq;jkcyxzyxad;1
5232;hgrsuvzepf;jkcyxzyxad;3
5233;pnpdfsrtnj;jkcyxzyxad;1
5234;dygqgxwsuf;lzburhtlpb;1
5235;hgrsuvzepf;lzburhtlpb;3
5236;ooolhdzygd;lzburhtlpb;1
5237;xvodthtrnt;lzburhtlpb;1
5238;rylexchxmo;lzburhtlpb;1
5239;hgrsuvzepf;hrglrnbqru;2
5240;uhwtweyfwf;hrglrnbqru;1
5241;ngdpejisgk;hrglrnbqru;1
5242;jrssmvqwxy;hrglrnbqru;1
5243;jntbswvsfv;hrglrnbqru;1
5244;fhgtwbmunz;exebrsvixj;2
5245;tsdiozyqaf;exebrsvixj;1
5246;lekzrmmwsm;exebrsvixj;1
5247;fhgtwbmunz;jkcyxzyxad;4
5248;inaiaizkhv;jkcyxzyxad;1
5249;mhbjtydrmk;jkcyxzyxad;1
5250;fabphlgelo;xcfktthkfq;1
5251;fhgtwbmunz;xcfktthkfq;1
5252;mdkzikuvoo;gtbimfoyfp;1
5253;fhgtwbmunz;gtbimfoyfp;1
5254;toxqqivhyi;gtbimfoyfp;1
5255;cctpslstbt;gtbimfoyfp;1
5256;tcndaefoaw;gtbimfoyfp;1
5257;trhwxihcov;gtbimfoyfp;2
5258;nytatumcxe;gtbimfoyfp;1
5259;cdmjfyjioa;wwcqvlaaqe;1
5260;trhwxihcov;wwcqvlaaqe;1
5261;vstwovkoff;wwcqvlaaqe;1
5262;fvnhnlysgq;wwcqvlaaqe;2
5263;doiqgpvfnk;wwcqvlaaqe;1
5264;ddaazaesua;jkcyxzyxad;1
5265;fvnhnlysgq;jkcyxzyxad;3
5266;jqvlhlzxtj;jkcyxzyxad;1
5267;qsbvdxhvsa;jkcyxzyxad;1
5268;rxlvkwsjzv;jkcyxzyxad;1
5269;pupuxpchpj;jkcyxzyxad;1
5270;rxlvkwsjzv;jkqakbwbby;3
5271;eetqnyhpmm;jkqakbwbby;1
5272;atbyykbswv;jkqakbwbby;1
5273;znvpwmhuwm;lchdpvgwuo;1
5274;rxlvkwsjzv;lchdpvgwuo;1
5275;bfetpjvuza;lchdpvgwuo;1
5276;rxlvkwsjzv;orkknxuhiz;2
5277;fpprlafifp;orkknxuhiz;1
5278;ckvbnhqzqx;orkknxuhiz;1
5279;bqsxbrhalw;orkknxuhiz;1
5280;tdfhkjrims;orkknxuhiz;1
5281;kxzueiykdb;jkcyxzyxad;2
5282;ppswawiozo;jkcyxzyxad;1
5283;aygjogznsq;jkcyxzyxad;2
5284;wxhvgaisgu;jkcyxzyxad;1
5285;rplknrsvfi;jkcyxzyxad;1
5286;aygjogznsq;bcctithtfm;1
5287;zeuoxiprqj;bcctithtfm;1
5288;ahobcrsyem;bcctithtfm;3
5289;etevwzqayc;bcctithtfm;1
5290;ojbuegathl;bcctithtfm;1
5291;wpctqdqboq;rkgudeetuy;1
5292;ahobcrsyem;rkgudeetuy;1
5293;bwycpdtxvl;rkgudeetuy;1
5294;ahobcrsyem;tzykwdqmsb;1
5295;hwvycqgzvu;tzykwdqmsb;1
5296;uczpmojjsj;tzykwdqmsb;1
5297;klthyhhegx;tzykwdqmsb;1
5298;uczpmojjsj;jkcyxzyxad;2
5299;verfoxjekd;jkcyxzyxad;1
5300;uczpmojjsj;ijtqiczqou;5
5301;ashizsctyf;ijtqiczqou;1
5302;crhaftobog;ijtqiczqou;1
5303;wlpqwgkxlb;ijtqiczqou;1
5304;ubpychnktz;ijtqiczqou;1
5305;cntftbsqgj;ijtqiczqou;1
5306;uczpmojjsj;qnngfnhpal;2
5307;pwgcolnlqx;qnngfnhpal;1
5308;zkkhuqzjld;fcoyqpivjo;1
5309;uczpmojjsj;fcoyqpivjo;2
5310;rsdlndxrhn;fcoyqpivjo;1
5311;nndiicoxoq;fcoyqpivjo;1
5312;uczpmojjsj;bxpbsefyup;1
5313;gprmxkkqsi;bxpbsefyup;3
5314;ilmdsdkcpg;bxpbsefyup;1
5315;kmhenhmqrv;bxpbsefyup;1
5316;zanazlvwzr;bxpbsefyup;1
5317;gprmxkkqsi;gtfetchwze;5
5318;ypicmzzvck;gtfetchwze;1
5319;jmsjozgjif;gtfetchwze;1
5320;hpyrcslkgr;gtfetchwze;1
5321;esixtqrbmo;gtfetchwze;1
5322;xnnfhwbdbf;ifqbedsqrx;1
5323;gprmxkkqsi;ifqbedsqrx;1
5324;rybueoyuwq;digpsnukct;1
5325;gprmxkkqsi;digpsnukct;4
5326;muozsxjltv;digpsnukct;1
5327;hjhvdmeuai;digpsnukct;1
5328;ixsvvdxqjh;bxpbsefyup;1
5329;mlhnplfrsm;bxpbsefyup;3
5330;eftgqkotpy;bxpbsefyup;1
5331;jzfdyydxrh;bxpbsefyup;1
5332;ovibpnbler;plrpteonla;1
5333;mlhnplfrsm;plrpteonla;2
5334;rbbkjizbsc;plrpteonla;1
5335;rlqeoqtivm;plrpteonla;1
5336;bolkpgnyik;plrpteonla;1
5337;yhenujkasb;plrpteonla;1
5338;yrfqdrmwlk;plrpteonla;2
5339;kngjwjwerp;plrpteonla;1
5340;ahffndzbei;cmnxtibtit;1
5341;esaolqhwbq;cmnxtibtit;2
5342;uqmbzfqqad;cmnxtibtit;1
5343;esaolqhwbq;jbtdvzllyo;3
5344;dxlymelzsg;jbtdvzllyo;1
5345;lmgcnmkvux;jbtdvzllyo;1
5346;zfpteraxkl;jbtdvzllyo;1
5347;xhydchovzx;bxpbsefyup;4
5348;epmrgvoseu;bxpbsefyup;1
5349;wqmyqjfogi;bxpbsefyup;1
5350;ipwwllmjbt;bxpbsefyup;1
5351;irrukbbjsb;bxpbsefyup;1
5352;utrzwfhbjk;cjqmdreduh;3
5353;iydidhsuxm;cjqmdreduh;1
5354;piprpodqvj;cjqmdreduh;1
5355;pizsrynnbf;kxvrktbfzs;3
5356;vjuilzrult;kxvrktbfzs;1
5357;sdhxneauyq;kxvrktbfzs;1
5358;ukdcprkzvy;ybhehzonmm;1
5359;pizsrynnbf;ybhehzonmm;4
5360;yhgxoakfsi;ybhehzonmm;1
5361;iqjnyrvngx;ybhehzonmm;1
5362;lcmthukkcl;ybhehzonmm;1
5363;xknbpdbyem;bxpbsefyup;1
5364;pizsrynnbf;bxpbsefyup;2
5365;ynuxzmpplw;bxpbsefyup;1
5366;bwzwguaumb;bxpbsefyup;1
5367;pizsrynnbf;gjjdypklho;2
5368;sqhriewbhn;gjjdypklho;1
5369;wgyfxinxfc;gjjdypklho;1
5370;odqapzwyrg;rbzxdzpwem;1
5371;wgyfxinxfc;rbzxdzpwem;1
5372;gslfnrjmvt;rbzxdzpwem;1
5373;jbtmjmrufk;opslllfwjn;3
5374;vnrqdfruvi;opslllfwjn;1
5375;evhhflqdco;opslllfwjn;1
5376;wmjszsqeco;opslllfwjn;1
5377;jbtmjmrufk;bxpbsefyup;2
5378;olxendlibl;bxpbsefyup;1
5379;chrklrtowt;ppbpeznlkt;1
5380;snnmtqpclx;ppbpeznlkt;1
5381;hykwxtrmal;ppbpeznlkt;1
5382;snnmtqpclx;fnculhzjqs;1
5383;dwsclpoxkk;fnculhzjqs;1
5384;vjktnyyakr;fnculhzjqs;4
5385;nzihysrvcs;fnculhzjqs;1
5386;innhwuqswf;fnculhzjqs;1
5387;iqyltshcys;asfduwepyp;1
5388;vjktnyyakr;asfduwepyp;1
5389;orkkdilydq;asfduwepyp;1
5390;gtbevxnxrm;asfduwepyp;1
5391;gbbsubhyvx;bxpbsefyup;1
5392;ekzjqvozen;bxpbsefyup;1
5393;orgonuinto;zszehtvomq;1
5394;ekzjqvozen;zszehtvomq;1
5395;mlgjdwckah;zszehtvomq;1
5396;kdrpirpcow;zszehtvomq;2
5397;blrdsuuxyq;zszehtvomq;1
5398;umvqfbpyfz;cgoiwdzqnw;1
5399;kdrpirpcow;cgoiwdzqnw;2
5400;hbvpfolpwt;cgoiwdzqnw;1
5401;lytuemeavy;cgoiwdzqnw;1
5402;byklmdzrsa;lxwctvthdz;1
5403;byklmdzrsa;bxpbsefyup;9
5404;jrupkqtdrz;bxpbsefyup;1
5405;byklmdzrsa;vtxyimtbgj;4
5406;unuuiotcap;vtxyimtbgj;1
5407;dpsbbbdssv;vtxyimtbgj;1
5408;homefzkeuu;vtxyimtbgj;1
5409;gkudzuejqe;sbmvhqwxzd;1
5410;byklmdzrsa;sbmvhqwxzd;5
5411;wtuhaebsrw;sbmvhqwxzd;1
5412;jmbouzuxel;sbmvhqwxzd;1
5413;dhjxfmyifa;sbmvhqwxzd;1
5414;okwgmbnrts;sbmvhqwxzd;1
5415;bnryavcrjk;eldhfsuwmd;1
5416;byklmdzrsa;eldhfsuwmd;3
5417;zjwxlaumtf;eldhfsuwmd;1
5418;yhpxhmdrey;bxpbsefyup;1
5419;ykwjgwoizs;bxpbsefyup;1
5420;mjrufvfckw;bxpbsefyup;1
5421;byklmdzrsa;xopkmvjkvd;4
5422;wqzxdbzjkk;xopkmvjkvd;1
5423;zilosxlyqk;xopkmvjkvd;1
5424;mwxzekzplu;xopkmvjkvd;1
5425;apxhmwuxlv;iwdeocrcap;1
5426;byklmdzrsa;iwdeocrcap;3
5427;esnpywmozf;iwdeocrcap;1
5428;ztviuiktpl;iwdeocrcap;1
5429;byklmdzrsa;bqzbizupwp;1
5430;svtghnrtwg;bxpbsefyup;1
5431;ncvmnenpns;bxpbsefyup;1
5432;dfnqgjebhc;bxpbsefyup;1
5433;byklmdzrsa;bknxgbcgfr;1
5434;xvnfycedes;bknxgbcgfr;1
5435;byklmdzrsa;rufxnmlwog;2
5436;wquadndysx;rufxnmlwog;1
5437;lhpmaxoehu;rufxnmlwog;1
5438;byklmdzrsa;dwczwogvqs;2
5439;jclhymujmt;dwczwogvqs;1
5440;ndgjxsrtgt;bxpbsefyup;1
5441;jeosnrrtle;bxpbsefyup;1
5442;gguhkbfnbj;bxpbsefyup;1
5443;zutuagwtuy;bxpbsefyup;1
5444;qkpjbaoviz;dwoplmsrja;2
5445;eywjiqfrzg;dwoplmsrja;1
5446;tvgyweehvy;sylubagexw;1
5447;hybmyeidog;sylubagexw;4
5448;otyqanmfjy;sylubagexw;1
5449;rzmcnjlbrh;sylubagexw;1
5450;ibviccfobj;sylubagexw;1
5451;rxvnycfqwk;sylubagexw;1
5452;hybmyeidog;uobbwegzwn;1
5453;mjbythnkyf;uobbwegzwn;1
5454;ahckpeders;uobbwegzwn;2
5455;nnkncybfby;uobbwegzwn;1
5456;qulqmtfxpi;uobbwegzwn;1
5457;ahdznsdrko;uobbwegzwn;2
5458;zvnvrldsqm;uobbwegzwn;1
5459;ahdznsdrko;bxpbsefyup;3
5460;qrsztxvtpb;bxpbsefyup;1
5461;fnohzldizr;bxpbsefyup;1
5462;kgpigpttpd;bxpbsefyup;1
5463;ahdznsdrko;hvepiveaef;1
5464;lclgccygpm;hvepiveaef;1
5465;ahdznsdrko;fupoklguff;4
5466;ioqgyzphey;fupoklguff;1
5467;schyombxem;fupoklguff;1
5468;rlezbjpqyh;fupoklguff;1
5469;ifkrgtscbt;fupoklguff;1
5470;geeprkxxyc;fupoklguff;1
5471;xgdqifskka;fupoklguff;1
5472;geeprkxxyc;azgzyebnvs;4
5473;mgxjsnewaj;azgzyebnvs;1
5474;vdbqqizure;azgzyebnvs;1
5475;botssimqkj;bxpbsefyup;1
5476;teryrevnbb;bxpbsefyup;3
5477;rlgvgedhcz;bxpbsefyup;1
5478;wvkuucxjil;bxpbsefyup;1
5479;wtuaihpauu;bxpbsefyup;1
5480;teryrevnbb;klsndmpynn;3
5481;yxjkyecopp;klsndmpynn;1
5482;rcymfeyhcf;klsndmpynn;1
5483;icvnnjwusf;klsndmpynn;1
5484;wyipuuvjnp;klsndmpynn;2
5485;nxxxxukkvh;klsndmpynn;1
5486;wyipuuvjnp;yuixxofkee;2
5487;cawjbspkzy;yuixxofkee;1
5488;dlsrttfpvm;yuixxofkee;1
5489;wyipuuvjnp;akukqupwnr;1
5490;iiuhspevjr;akukqupwnr;1
5491;tuunyusuwy;akukqupwnr;1
5492;fnqxvgspqg;akukqupwnr;1
5493;tuunyusuwy;bxpbsefyup;4
5494;khefohtqyt;bxpbsefyup;1
5495;wqsnuhudaf;bxpbsefyup;1
5496;dqdmggbxug;bxpbsefyup;1
5497;duwfzxtiru;gxzbruidsu;1
5498;tuunyusuwy;gxzbruidsu;1
5499;axwcvdvwgz;gxzbruidsu;1
5500;vppigtbyxg;gxzbruidsu;1
5501;pgbbdwmpeq;csomdmkvwd;1
5502;vppigtbyxg;csomdmkvwd;4
5503;dqjftnvasl;csomdmkvwd;1
5504;ljxhbfwfcl;csomdmkvwd;1
5505;ntnycremlo;csomdmkvwd;1
5506;vppigtbyxg;imwveagoao;2
5507;dhgjfqeiil;imwveagoao;1
5508;higebixvla;imwveagoao;1
5509;ugxtqsivyi;imwveagoao;2
5510;qmpmuxdlcq;imwveagoao;1
5511;uvkeuvwvet;bxpbsefyup;1
5512;ugxtqsivyi;bxpbsefyup;1
5513;uvzszddtzu;bxpbsefyup;1
5514;feezfbktrn;qtsfqnqexu;1
5515;irwvukbjvy;qtsfqnqexu;1
5516;bksnugivim;qtsfqnqexu;3
5517;lleegqluqe;qtsfqnqexu;1
5518;taeldllxpx;qtsfqnqexu;1
5519;sjzswdlpuo;qtsfqnqexu;1
5520;mzdyspqknl;wmydlgxwcs;1
5521;sjzswdlpuo;wmydlgxwcs;1
5522;gyuzvwbpbv;wmydlgxwcs;1
5523;qgauxlvfbp;wmydlgxwcs;1
5524;vzmnojrcxp;wmydlgxwcs;1
5525;qgauxlvfbp;wfcsbnmlzp;4
5526;ombjldzgby;wfcsbnmlzp;1
5527;lzcatmjmfp;wfcsbnmlzp;1
5528;xfkdgjifrm;wfcsbnmlzp;1
5529;itrwatzfsc;wfcsbnmlzp;1
5530;ktqjpruszh;wfcsbnmlzp;1
5531;cobkrpagvk;wfcsbnmlzp;1
5532;njpihspnme;bxpbsefyup;5
5533;wsfnodfdbe;bxpbsefyup;1
5534;ifxntcoxec;bxpbsefyup;1
5535;vigtpjxdmu;bxpbsefyup;1
5536;uqipvssvar;sfhmkgzafj;1
5537;htshrakwqh;sfhmkgzafj;3
5538;vmvvzxsvpq;sfhmkgzafj;1
5539;ysisurpktk;sfhmkgzafj;1
5540;xdvtmqaiqu;sfhmkgzafj;1
5541;oqwyewexin;sfhmkgzafj;1
5542;ntjlgxjfjy;sfhmkgzafj;1
5543;oqwyewexin;vtlsxxchfk;2
5544;bmywskzosp;vtlsxxchfk;1
5545;kobvoufydf;vtlsxxchfk;1
5546;pjvwshmmhl;vtlsxxchfk;1
5547;eoetbsuvig;ssawxzishh;1
5548;pjvwshmmhl;ssawxzishh;1
5549;pjvwshmmhl;bxpbsefyup;10
5550;pphhnwvpev;bxpbsefyup;1
5551;dthmynthzh;bxpbsefyup;1
5552;xlglhmscos;bxpbsefyup;1
5553;kzugatoygm;bxpbsefyup;1
5554;idohtfzwha;wkxtqiuhwp;1
5555;pjvwshmmhl;wkxtqiuhwp;3
5556;rddmzgmllc;wkxtqiuhwp;1
5557;lxpobcbsby;wkxtqiuhwp;1
5558;ayfwfhpdbr;htmtizmyde;1
5559;pjvwshmmhl;htmtizmyde;3
5560;uzuhjqhbly;htmtizmyde;1
5561;ehcjibcltq;htmtizmyde;1
5562;pjvwshmmhl;ivfxgkdcsz;2
5563;tkeamqxyuy;ivfxgkdcsz;1
5564;ddclyhmrrz;ivfxgkdcsz;1
5565;jvsckgozrz;bxpbsefyup;1
5566;sktxldyzdc;bxpbsefyup;1
5567;shtzfldbnt;bxpbsefyup;1
5568;whbkgnllao;bxpbsefyup;1
5569;zorktdpiwl;bxpbsefyup;1
5570;pjvwshmmhl;ftmawsdgin;2
5571;xfkvfmpzxi;ftmawsdgin;1
5572;lnmrknsxdx;ftmawsdgin;1
5573;ampxaqdter;ftmawsdgin;3
5574;ulwvdjhvlz;ftmawsdgin;1
5575;spwgrewltf;ftmawsdgin;1
5576;ampxaqdter;bmpvnopntw;5
5577;knsduuzbbf;bmpvnopntw;1
5578;fggnfvkviw;bmpvnopntw;1
5579;kjtoaiwttl;bmpvnopntw;1
5580;ebolrpsoes;bmpvnopntw;1
5581;nfnappyxxc;pnkhczgaez;1
5582;ewdvxrqmxs;pnkhczgaez;3
5583;glamqamwfy;pnkhczgaez;1
5584;dychgsvfok;pnkhczgaez;1
5585;fzufqvcsaq;pnkhczgaez;1
5586;ewdvxrqmxs;bxpbsefyup;3
5587;zqfuoluxkr;bxpbsefyup;1
5588;wcvhprdxoy;bxpbsefyup;1
5589;ewdvxrqmxs;kqzidxqhoz;1
5590;jcbrgubgzh;kqzidxqhoz;1
5591;ewdvxrqmxs;zvezgajvxo;4
5592;ydtxescrvf;zvezgajvxo;1
5593;afoydhcmrl;zvezgajvxo;1
5594;vebdwmpmpr;zvezgajvxo;1
5595;qdigheffpe;krfodqluhv;1
5596;ewdvxrqmxs;krfodqluhv;1
5597;zkkjgnhseu;krfodqluhv;1
5598;iamglbfgfx;bxpbsefyup;3
5599;tdrdwildwt;bxpbsefyup;1
5600;zdkdnhtkuq;bxpbsefyup;1
5601;ytsxldikuw;aonwqvjczp;1
5602;iamglbfgfx;aonwqvjczp;1
5603;oyrbgbvxai;aonwqvjczp;2
5604;zgkgdnbewt;aonwqvjczp;1
5605;yolieuoqbc;aonwqvjczp;1
5606;oyrbgbvxai;stfgjfdtgd;1
5607;rnzgyqidlk;stfgjfdtgd;1
5608;oyrbgbvxai;glycqtrxry;1
5609;idinqiirid;glycqtrxry;1
5610;jicsqubfov;glycqtrxry;2
5611;xzyzadeoya;glycqtrxry;1
5612;aonvllghqg;bxpbsefyup;1
5613;jicsqubfov;bxpbsefyup;4
5614;rrklzrzzju;bxpbsefyup;1
5615;lbtctjtwoj;bxpbsefyup;1
5616;lacsupxave;bxpbsefyup;1
5617;fvgixqlzvl;bxpbsefyup;1
5618;jicsqubfov;jnrwgptszc;4
5619;bclmleylfx;jnrwgptszc;1
5620;ytkkhvejnm;jnrwgptszc;1
5621;mymehccnqp;jnrwgptszc;1
5622;fhtzvqrpor;jnrwgptszc;1
5623;gsafzgafph;xivupisnao;1
5624;fhtzvqrpor;xivupisnao;2
5625;qirbulwebi;xivupisnao;1
5626;gthsbcgnse;zojwwlgmnq;1
5627;fhtzvqrpor;zojwwlgmnq;4
5628;bhfsvufkmm;zojwwlgmnq;1
5629;tfmrlrdaey;zojwwlgmnq;1
5630;nebbdyugrw;zojwwlgmnq;1
5631;dyhaijsjfr;zojwwlgmnq;1
5632;wqnzjdalks;bxpbsefyup;3
5633;iqujmjnurr;bxpbsefyup;1
5634;bdtguftvzt;uxnnxgyraa;1
5635;wqnzjdalks;uxnnxgyraa;3
5636;uphblglius;uxnnxgyraa;1
5637;osjfjlsnmf;uxnnxgyraa;1
5638;ddxuctbxgj;jnrvmmgqdb;1
5639;wqnzjdalks;jnrvmmgqdb;3
5640;fnxpaebemg;jnrvmmgqdb;1
5641;sbafmgxmjg;jnrvmmgqdb;1
5642;vbeymrxumu;qmyybtikon;1
5643;wqnzjdalks;qmyybtikon;1
5644;tixrtxjwao;qmyybtikon;1
5645;eankjuukpn;qmyybtikon;1
5646;fjsqsauqps;qmyybtikon;1
5647;eankjuukpn;bxpbsefyup;6
5648;aommvkfssf;wrffeqgzuf;1
5649;eankjuukpn;wrffeqgzuf;1
5650;mpcxeapftl;gmfdyzgyzl;1
5651;eankjuukpn;gmfdyzgyzl;5
5652;gawunptoab;gmfdyzgyzl;1
5653;vcwwbfgnll;gmfdyzgyzl;1
5654;zrzczrvali;gmfdyzgyzl;1
5655;syxhcoojxv;gmfdyzgyzl;1
5656;fbfzlczvlo;xqfnpqzxxf;1
5657;eankjuukpn;xqfnpqzxxf;3
5658;lzcmrysqnu;xqfnpqzxxf;1
5659;iwtwqifnmb;xqfnpqzxxf;1
5660;wyygavrkfm;bxpbsefyup;1
5661;ogcigfjixt;bxpbsefyup;1
5662;hozjupkumf;bxpbsefyup;1
5663;dwmqkuwynb;bxpbsefyup;1
5664;eankjuukpn;noxahuktwz;1
5665;cymwehyfek;noxahuktwz;1
5666;frcpdiylmf;vhvdslekgm;3
5667;eglglzefzm;vhvdslekgm;1
5668;sycybeexsd;vhvdslekgm;1
5669;uytkvvtynt;vhvdslekgm;1
5670;frcpdiylmf;ysqiutrzdd;3
5671;advskdxaxq;ysqiutrzdd;1
5672;kuwqmoiexs;ysqiutrzdd;1
5673;jnwwoucupv;bxpbsefyup;1
5674;frcpdiylmf;bxpbsefyup;1
5675;frcpdiylmf;qvzvmhvlmd;2
5676;hbepznofwo;qvzvmhvlmd;1
5677;tddiykuuhq;qvzvmhvlmd;1
5678;frcpdiylmf;hztvmbtbdx;4
5679;rebgobgdqq;hztvmbtbdx;1
5680;nngwnsjizh;hztvmbtbdx;1
5681;mmeegomvae;hztvmbtbdx;1
5682;xeyrbkblrb;hztvmbtbdx;1
5683;kufdpgwkmc;eyvsyeqhtv;2
5684;ehngcojfss;eyvsyeqhtv;1
5685;cvioygywyv;bxpbsefyup;1
5686;kufdpgwkmc;bxpbsefyup;3
5687;skyhfmbqsm;bxpbsefyup;1
5688;wykuunxwtj;bxpbsefyup;1
5689;sbbnqippxr;bxpbsefyup;1
5690;nxriojkotp;bxpbsefyup;1
5691;sbbnqippxr;pybvdfgsmh;1
5692;eenbasjmgi;pybvdfgsmh;1
5693;xyxejmphfd;pybvdfgsmh;3
5694;giqkcozuff;pybvdfgsmh;1
5695;oeyfqdtonp;pybvdfgsmh;1
5696;najwzsvzly;chyqrdezlx;1
5697;xyxejmphfd;chyqrdezlx;1
5698;enftqrazip;amrjcxgfms;1
5699;xyxejmphfd;amrjcxgfms;1
5700;nxjqctlsel;bxpbsefyup;1
5701;xyxejmphfd;bxpbsefyup;10
5702;pscpykurnu;bxpbsefyup;1
5703;wraacmzlyr;bxpbsefyup;1
5704;bdkueeokjh;bxpbsefyup;1
5705;xyxejmphfd;tzfkmadzqe;2
5706;cqaopauykc;brgdkyvzlw;1
5707;xyxejmphfd;brgdkyvzlw;2
5708;ueaklaielz;brgdkyvzlw;1
5709;vtgfoenziu;brgdkyvzlw;1
5710;xyxejmphfd;qnwshloppl;2
5711;vimgznyvtm;qnwshloppl;1
5712;vxshvwnmhg;bxpbsefyup;1
5713;sxfedyszdh;bxpbsefyup;1
5714;czszaphufu;bxpbsefyup;1
5715;hmkurpubyy;xgfnbxkdbm;1
5716;xyxejmphfd;xgfnbxkdbm;1
